Employee ID,First Name,Last Name,Gender,Date of Birth,Department,Job Title,Employment Type,Hire Date,Salary,Email,Phone Number,Address,City,State,Zip Code,Country,Marital Status,Emergency Contact Name,Emergency Contact Phone
EMP001,Anthony,Adams,Male,1999-05-24,Finance,Payroll Specialist,Part-time,2024-12-02,41073.78,hblevins@yahoo.com,001-387-275-3678x0609,"238 William Manor Apt. 243
Port Patrick, AK 17963",New Julie,New Jersey,20591,USA,Married,Crystal Nelson,331-907-0099
EMP002,Jonathan,Price,Male,1986-04-13,Operations,Operations Manager,Contract,2022-11-22,56740.34,qstafford@johnson.com,996.729.3575x0219,"01055 Miller Square
Paulburgh, ID 47069",Port Rodney,New York,77928,USA,Married,Lisa Ware,(050)891-2324
EMP003,Donald,Fitzgerald,Male,1972-01-28,HR,Recruiter,Part-time,2022-12-24,107338.05,ashleyadkins@hotmail.com,+1-002-971-5114x5798,"3379 Clark Mountains
Seanhaven, MD 74665",East Steven,Oregon,67892,USA,Single,Mary Rice,+1-279-647-8924x53759
EMP004,Kathleen,Kim,Male,1998-12-26,Operations,Supply Chain Analyst,Full-time,2020-11-24,98446.63,andersonpamela@patterson-knight.com,(001)514-3731x068,"29324 James Flats Suite 554
North Malloryland, WA 95572",North Alexandria,Alaska,79757,USA,Single,Rebecca Baldwin,382.914.2053x8582
EMP005,Mark,Lee,Female,1967-10-19,IT,Software Engineer,Full-time,2019-04-30,60916.56,hendersonjohn@wade.info,515.686.2146x9466,"567 Huang Pass Suite 888
New Kevin, MN 30943",South Ashleyburgh,Kansas,99006,USA,Single,Jason Miller,(161)754-2517
EMP006,Teresa,Gardner,Male,1965-04-04,Operations,Operations Manager,Part-time,2022-06-02,40185.98,simpsonashley@warner.org,+1-349-354-9656x551,"83087 Ryan Pine Apt. 985
New Jeffrey, AL 74997",Wilsonbury,West Virginia,38823,USA,Married,Tyler Barron,(598)108-0388
EMP007,William,Bailey,Female,1984-04-13,IT,Data Analyst,Contract,2024-12-24,83781.21,brianbaker@gmail.com,259-915-3542x7519,"49077 Wright Valleys Apt. 159
Spencerville, MA 34865",Jasminemouth,Kentucky,71175,USA,Widowed,Kevin Ball,001-667-265-9330x5320
EMP008,William,Ferrell,Female,1997-12-17,IT,Data Analyst,Contract,2017-02-08,74059.58,leonjames@long-gilbert.net,001-103-767-9260x5529,"724 Ryan Crescent Suite 554
Lisafurt, CT 03578",Jamesborough,Wyoming,35276,USA,Widowed,Aaron Bond,(569)624-1060
EMP009,David,Morrison,Male,1987-04-18,IT,Data Analyst,Contract,2023-02-16,112214.04,zoe78@gmail.com,366.551.4971x29726,"2093 Belinda Streets Suite 719
Kimberlymouth, NY 63490",Ethanside,Nebraska,67179,USA,Widowed,David King,7545216644
EMP010,Holly,Howe,Female,2001-03-06,Marketing,Marketing Manager,Full-time,2018-09-02,75566.28,psmith@gmail.com,2437770662,"5912 Lynn Garden Suite 458
Bennettburgh, NH 80404",East Alison,Idaho,82287,USA,Single,John Lee,(817)483-0300
EMP011,Randy,Wilson,Female,2002-12-13,Sales,Sales Representative,Part-time,2024-04-08,37899.19,devinpena@patel.com,940-456-3931x2883,"734 Angela Extensions
New Karen, PA 27837",Port Jennifer,Minnesota,77378,USA,Single,Brett Wilson,+1-518-691-7208x8798
EMP012,Stephanie,Ewing,Male,1986-08-18,Finance,Payroll Specialist,Full-time,2024-11-18,118875.1,vhall@gmail.com,001-614-179-8867x3133,"PSC 2393, Box 8385
APO AA 08353",Port Jean,Ohio,22479,USA,Widowed,Joseph Shelton,001-676-141-6317x53539
EMP013,Reginald,Hansen,Male,1971-08-01,IT,Data Analyst,Full-time,2019-08-09,60376.61,leeteresa@calderon.com,228-814-2830x8870,"5241 Christina Route
Wadechester, MO 23032",New Christophermouth,Hawaii,23714,USA,Divorced,Hunter Martin,866.604.5545x15430
